review
フォトレビューだけ
ベタベタ＆無香料の時点で普通に神🫪🫪🫪💥💥💥💥ドラッグストアのやつは安いけど匂いついてるやつ多いからね😉😉😉💦💦時間経過で匂い変になっちゃうからね‪💦‬‪💦‬‪💦‬愛用します😋😋😋✊✊✊
届いたので早速使ってみようと思います！！！！！！！
リピートしてるのでストックとして購入。全身使えて気に入っています。
おまけを使ったら良かったので購入させて頂きました！
何度リピートしたか分からないくらいイリユンが大好きで、今回はストック！！
おまけつき　前に使って良かったからリピ
香りが強すぎなくて、使いやすいです。
匂いはないです。塗った後もサラサラになるのでおすすめです！
リピートです。シンプルで良い。
期待をこめての評価です！大容量で安いです！オマケもたくさんで、幸せです⭐️
以前購入した際に、ギフトでついておりとても良かったので購入しました。
高評価というコメントが多くリピしている人が多かったため。
到着も早くて良かったです！使用感も良くて続けられそうです。またリピします
ありがとうございました。
これがないと肌が無理になります。最後までバトルに残らず使い切れるところが好きです。
長年愛用しています！ストック買いです！
頑張って保湿します！！！
ストックです。おまけもついてて嬉しい〜
ストックです。おまけもついてて嬉しい〜。
人気のイリユンを初めて購入しました。デコルテと腕がザラザラで悩んでいますが、テクスチャーはベタベタせず、セラミドが入ってるので荒れた肌に効果がありそう〜！ずっと使い続けたいと思います。アモパシの素敵なサンプル付けてもらってうれしいです😊
とても塗りやすい、しっとり感があり、背中にも塗りやすい。
韓国のクリニックで使ってから虜です
普段あまりボディクリームは使わないのですが、夏の陽の乾燥も気になるので使い始めてみました。首の根元や脇下など、毛穴の開きが気になっていたところがみるみる毛穴が小さくなっていく（なぜ？！ｗ）テクスチャはこっくり感がありますが、しばらくすると肌になじんで気にならなくなります。香りもほとんどしないので気に入っています。使い続けて全身の肌をしっかり整えたいです◎
冬場必ず乾燥で痒くなったり粉吹いてた部位がこれで全くなくなりました。無臭で香りで癒されるとかはないので物足りない人はいるかもしれない
リピ買いです♡無香料で伸びがいいので気に入っています。ポンプ式なので使いやすいです。
あまりベタつかずに保湿される感じがとても好きです！香りの好みが激しいので、無香料なところもありがたいです。毎年冬は乾燥で痒くなってしまったり粉を吹いてしまうこともあったのですが、このおかげで乾燥することなく冬を越すことが出来ました！これからも使い続けます！
とってもいい！また購入したい
使い始めて3日くらいで肌がいい感じになりました。肌トラブルが減りました。
凄く評判の良いボディークリームですよね。認知はしていましたが初めて購入しました。ギフトもたくさんで嬉しい！アトピー肌なので期待しています。
ローションを１本購入したら、サンプルサイズのクリームが２本ついてきました(^^)冬用に取っておこうか悩み中です。
家族で使ってます！ベタベタしないから夏にも使える
前回はイリユンの赤を買ったので今回は夏に向けて青を購入してみました。人気なので使用が楽しみです。
肌の弱いお友達にあげたくて購入自分で使ってないのですが期待を込めて。思ったより本体のローションがデカくて、思ったより+1のジェルが小さくてびっくり（笑）表記の容量なので、印象が違ってただけですね。おまけも嬉しいです。これは私が使ってしまおうかな（笑）
子供と一緒に使ってます。肌がもっちもちになります。
夏に向けて、スゥージングクリームを購入してみました。まだ使用してませんがこれから夏に向けて大活躍しそうです。
妊娠9ヶ月で身体に発疹が出て痒さで眠れない日が続いていましたがこれを塗り始めて乾燥知らずになりました！痒みもあまり感じなくなってきています。匂いも気にならなくて使いやすいテクスチャーでとっても気に入っています！
リピートです。嫌な香りもなく、ちゃんと保湿してくれるので子供もお気に入りです。春夏用として使っています。メガ割で2本セットが売り切れてしまい買えなかったため、今回はこちらのジェル付きにしてみました。ジェルは初めてなので使うのが楽しみです。
リピートです！子供も肌荒れすることなく使えてお気に入りです！
イリユン、初めて買ってみました。オールシーズン使いやすそうです！黄色と2本購入したので、しばらくこちらたっぷり使っていきます。
しっとりするのにベタつかず愛用しています。
kayoさんがYouTubeでオススメしていて使ってみてからのリピートです。ボディクリーム塗るとのびが悪かったりだとかいつまでもベタつきを感じたりしていて、セラミドよりも保湿するって書いてあったやつ使ったら痒くなったりするし…。だけど、このボディクリームは痒くならないです。のびが良いし、ベタつきがないし気に入ってる〜。またメガ割やメガポの時にリピートします😊出会えてよかった
年中保湿欲しい方には本当に合ってる
何回もリピしてます！コスパもよくて大好きです。
おまけ、ありがとございます。
ボディローション難民で全然気に入ったものに出会えなかったんですが、やっと出会えました♪テクスチャーが絶妙に良い！重すぎず軽すぎない。寝る前に塗ってますがシーツや布団に付かないのに朝起きても保湿されているのが大変お気に入りです(^^)
お安く購入できてよかったです。
期待込めての評価で！す
アモパシ！おまけ多くて、ほんとにありがたい！こちらのローションは初めて買いましたが、使い心地◎リピします！
気になってたのでメガ割で購入してみた🙆膝や膝の乾燥になやんでたけど、使ってみてびっくり。保湿力半端ない。今まで薬局でニベアのいいやつ買ってたけど、こっちに変えてみます。
いつも使っています。さらさらなのに、しっとりしていてベタつかないので通年使えます！めちゃくちゃおすすめ！
1歳半の上の子と夏に産まれてくるお腹の子用に初めてイリユンを購入しました。 赤ちゃん向けのボディローションは高いものが多いのでこの容量でメガ割価格はとても安かったです！おまけがたくさんもらえるように工夫して購入しました。 使用期限も長かったので当分の保湿はイリユンでいけそうです。
1歳半の上の子と夏に産まれてくるお腹の子用に初めてイリユンを購入しました。赤ちゃん向けのボディローションは高いものが多いのでこの容量でメガ割価格はとても安かったです！おまけがたくさんもらえるように工夫して購入しました。使用期限も長かったので当分の保湿はイリユンでいけそうです。
よく伸びるしベタつかないし成分が優しいので親子で一緒に使ってます。リピートです！
送料無料にするために沢山買ってしまいました。初めてですがとにかくテクステャーが硬くも緩すぎもなく丁度良く、匂いがしないのがとても気に入りました！結構持ちそうなので実家や娘にも配ろうと思います。
べたつかないのにしっかり保湿されてもっちり肌になります
家族みんなで使っています。伸びも良くへんな香りもないので使いやすいですし、保湿力もあります。おまけがたくさんついてきて（使える物ばかり）嬉しいです〜
お風呂上がりの全身の保湿に使ってます！塗った直後は少しべたつきますがサラッと塗れて、翌朝にはしっとりスベスベです！
伸びも良く、赤ちゃんにも使えて何度もリピートしています。
冬に購入してお気に入りになりました。親子で使用中、一年中使おうと思っています。
10歳の娘もお風呂上がりに一緒に使っています。最初はイリユンの赤いパッケージシリーズの方を使っていました。私にはちょうど良かったのですが娘には重すぎたようです。こちらは軽くて娘も気に入っているので、共有できるこのタイプを使い続けてもう4本目ですおまけのミニチューブとIOPE嬉しいです。
リピです。好きな匂いのボディクリームと使いたくて、無香料で最高です。夏も塗った後ベタベタしなくてハッピーです
何回リピートしたかわからないくらい大好きなボディーソープです！イリユンは季節によって使い分けてます。家族でも愛用中で、ミニサイズのボディミルクも嬉しいです♩
初めて購入！使うのが楽しみです！
前回、サンプルで使ってとても良かったので、買いました。無臭でゆるいクリームローションで伸びが良くツルっと肌がして良いです。
リピートです！保湿はこれに限ります！
リピ買いです！とても豪華なおまけ付きでうれしいです！(ボディーソープは別購入です)
テクスチャーが本当に好きでストックで購入しました。 夏でも使いやすい重さだと思います。
