product_name,rating,review_text,has_mutenka,has_sunham,has_jageuk,jageuk_context
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"일리윤 제품 참 좋습니다.
전부터 사용중인 제품으로
건조해진 요즘 계절엔 필수품이죠.
일리윤 세라마이드 아토 로션은 발림성이 좋아서 
좀 더 편하게 바르고 있구요.
일리윤 세라마이드 아토 집중 크림은
말 그대로 크림 제품으로 
좀 더 꾸덕?하고 그만큼 보습력도 더 좋습니다.
보습이 좀더 필요한 곳 크림으로 덧바르거나
크림을 바디로션 대용으로 바르는것도 좋아요.
저는 로션 크림 모두 사용중입니다.

특히 펌핑용기에 담겨있어 원하는 횟수만큼
펌핑하여 적당량 사용하기 편하구요.
입구 주변 지저분한 것도 없이 깔끔합니다.

일리윤 세라마이드 아토로션은 
발림성, 흡수력도 좋아서
바르고 난 후에도 끈적임없어 
바디제품 못바르시는 분들도 편히 사용가능하세요.",False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"장점이 아주 많은 보습로션입니다.

1. 페이스와 얼굴 모두 가능
너무 기름지지도 않고 촉촉한 제형이라서 바디뿐만 아니라 페이스에도 사용이 가능합니다. 번거롭게 여러 로션 쓰지 않아도 이거 하나면 충분해요!

2. 온가족 사용 가능
워낙 순하기로 소문난 로션이라 어린 아이부터 어른까지 온가족이 함께 사용할 수 있어서 너무 좋아요!

3. 특허 받은 펌프 용기
다 써갈 때 쯤 내용물이 애매하게 남으면 뚜껑을 열고 두드려서 써야하는 어려움이 있는 다른 펌프용기와 다르게 남김없이 사용할 수 있는 펌프용기라 알뜰하게 사용할 수 있습니다!

건조해지는 겨울 촉촉한 로션을 찾는다면 일리윤 로션 추천합니다!",False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"대용량을 라방때 할인해서 잘 샀네요~~
주문한지 하루도 안되어서 배송까지..
사용기간도 26년까지라 걱정없이 쓸수 있겠네요..
평소 향 있는 제품을 좋아하지만..아이들 쓰기에는
무향도 괜찮네요",False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"아침 저녁으로 잘 사용하고 있습니다
피부 자극 없고 발림성 좋고 보습도 잘되어 너무 맘에 듭니다
무향이라 더 좋은것 같아요
세O필이나 아O노 보다 좋은것 같습니다",False,False,True,자극없음(긍정)
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"가격이 저렴하고 어젯밤에 주문했는데 오늘 도착해 좋았어요 
비염이 있어 향에 민감한데 무향이라 좋아요
촉촉하지만 끈적거리지 않아요
보습력 짱~~
겨울에 각질 제거를 한 번씩 하고 나면 온 몸이 가려운데 일리윤 세라마이드 아토 로션을 바르면 가려운 증세가 전혀 없어 좋답니다
유통기한도 넉넉합니다",False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,발림성도 좋고 보습력도 제 피부엔 충분했어요 무향이라 호불호 갈릴 일 없었고 흡수도 빠른 편이라 끈적이지 않아 편해요 좋은 제품 좋은 가격에 잘 샀습니다!,False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,손이 많이 텄을 때 쓰기 완전 적합한 로션이예요! 손 자주 씻어서 손이 잘 트는 편인데 다른 로션을 발라도 진정이 잘 안되더라구요... 그래서 찾다가 발견한 로션인데 튼게 진정되서 그만큼 애용하는 제품이예요! 이번에 라이브 한다고 해서 쟁여두려고 샀습니다ㅎㅎ!,False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"큰거 한통 다쓰고 행사 하길래 재구매 했습니다!!! 
제아기는 아토피가 있어서 보습이 정말정말 중요한대 비싼제품을 소량씩 쓰는것보단 적당한 가격대 제품을 자주 아주 많이 펴바르는게 훨씬 효과가 좋다는 조언을 듣고 바르기 시작했어요! 
확실히 대용량 제품사서 자주 보습을 해줬더니 아기 피부가 훨씬 호전이 됐고, 기존에 쓰던 제품은 향이 있어서 아기가 싫어하는 느낌이 강했는데 지금 제품은 무향에 순해서 아기도 저도 거부감이 없습니다!! 
꾸준히 사용하고 앞으로도 꾸준히 사용할 것 같아요! 
이번 패키지는 소용량 제품을 같이 주셔서 어디 여행갈때 챙겨가기 너무너무 좋아요! 잘쓰겠습니다^^",False,True,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"안녕하세요! 가족이 함께 쓰려고 일리윤 바디로션 대용량 무향 세라마이드 아토 580ml × 2병을 구매했어요.
네이버 배송으로 도착했는데, 배송 퀄리티가 정말 장난 아니었어요.

 큰 박스에 제품이 꼼꼼하게 고정돼 있고, 병 하나하나를 두툼한 에어캡(버블랩)으로 완벽하게 감싸서 보내주셔서 도착했을 때 “이렇게까지 신경 써주시나” 싶을 정도로 감동받았습니다. 박스도 튼튼하고 테이핑도 깔끔해서 상품에 전혀 문제가 없었어요.

 제품 자체도 대용량이라 든든하고, 무향이라 온 가족이 쓰기 좋을 것 같아요. 세라마이드 성분이 들어가서 건조하거나 민감한 피부에도 부담 없이 사용할 수 있을 것 같네요.
포장부터 배송 상태, 상품 퀄리티까지 모두 만족스러워서 재구매 의향 100%입니다!

 대용량 바디로션 찾으시는 분들, 특히 가족용으로 고민 중이시라면 강력 추천해요.",True,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"남편이 갑자기 입원하게 되면서 병원 생활을 하게 됐는데, 급하게 병원 아래 편의점에서 사서 사용한 게 이 로션이었어요.

워낙 피부가 예민해서 트러블이 자주 나는 편인데, 이걸 사용한 뒤로는 트러블도 많이 줄고 피부 컨디션도 훨씬 좋아졌어요.

지금은 없으면 불안할 정도로 제 최애 로션이 됐네요 ㅠㅠ

급하게 구매한 제품이 이렇게 잘 맞을 줄은 정말 몰랐어요.. 정말 최고에요🥲",False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,4,"일리윤 세라마이드 아토 집중 크림 너무 너무 잘 쓰고 있어서, 여름이라 좀 가벼운 느낌의 로션을 생각하고 구매했는데, 기대보다는 오일리하네요. 그래도 열심히 사용해보겠습니다.",False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"포장은 꼼꼼하게 왔어요 
계절이 바뀌는 시기에 온도변화로
몸이 가려워 바디로션을 구매해요 
피부에 바르면 촉촉하고 매끄럽게 잘
스며들어서 좋아요 
좋은 제품 저렴한 가격에 구매 했어요 
빠른 배송 감사합니다",False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"화장품은 자주 바꾸는데 바디로션은 결국 다시 일리윤으로 돌아오게 되네요😚❤️

향이 강하지 않고, 온 가족이 같이 써도 무난한 제품이라 욕실에 항상 하나씩 두고 사용하고 있습니다👨🏻🧑🏻👩🏻👦🏻

끈적임이 적은 편이라 여름에도 부담이 없고, 샤워 후 대충 발라도 보습감이 오래가는 느낌이라 손이 자주 가요.

이번 구성은 대용량에 추가 용량까지 들어 있어서 가성비도 만족스럽습니다. 특별히 자극 없이 편하게 사용하고 있어 재구매했습니다🫰🏻🫰🏻🫰🏻",False,False,True,자극없음(긍정)
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,4,"최신날짜로 하루만에 빠르게 도착했어요.
나중에 쓸려고 아직 뜯진 않았는데 랩으로 포장되어 왔습니다.
다만 움직일때마다 안에서 달그닥 거리는데 문제 없는건가 궁금합니다.
일리윤 오래 썼는데 이런 경우는 처음이라서요.",False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"바디로션 바르는거 너무 싫고
로션 만지는 것도 혐오스러워 하는데
피부가 점점 안 좋아져서 바르기 시작했습니다
예전부터 유화이님 디렉터파이님 추천으로
꼽힌 제품이라 고민 없이 샀는데
바디로션 바른 뒤 피부 느낌이 달라진걸
느낀적이 없는데 이건 세번? 쯤 바르니
나중에 피부가 부드러워진 부분이 있는걸 발견해서
흠칫했네요. 귀찮을 땐 얼굴에 한번에 바릅니다.
가격이 좀 있어서 세일 때 마다 쟁일까 합니다",False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"거슬리는 점이 없는 제품이에요.
무난한데 필요한 기능을 너무 잘해서 자주 쓰게 돼요.
촉촉하게 흡수되는 느낌이 좋아요. 지금까지 써본 바디로션 중에서 흡수력이 좋은 편이에요.
무향인 점도 맘에 들어요.
다른 화장품들은 왜 피부에 쓰는 건데 향료를 넣는 걸까요...불필요한 걸 첨가하지 않는 게 중요하다고 느껴요..
발림성도 부드럽고 유수분 밸런스가 좋아서 어느 상황에서든 두루두루 쓰기 좋아요.
얼굴에도 사용 중이에요. 얼굴에 쓸 때는 토너 후 이 제품으로만 끝낼 때도 있고 좀 더 유분감 있는 제품으로 마무리하기도 해요.
저는 강추합니다.",False,False,False,
일리윤 바디로션 대용량 무향 세라마이드 아토 580ml+300ml,5,"아이들과 함께 온가족이 쓰기에는 가성비, 성분, 보습 모두 생각했을 때 일리윤이 가장 만족스러워서 n번째 구매중입니다. 하늘색 라벨은 다른 라인에 비해서 좀 더 산뜻하게 발리는 느낌이라서 날씨가 더워지는 지금 계절에 딱 사용하기 좋을때라 구매했은데 행사기간이라 작은 것도 함께 주셔서 수영장 갈때 사용하기 좋아요.",True,False,False,
