제품 이름,베스트 리뷰,별점,무첨가,순함,자극,자극 맥락
일리윤 저자극 이지워시 선크림,"백탁있는건 알고 산거라서 괜찮았어요.
선크림을 바꾸니 화장할때 조금 불편하긴하네요.
촉촉한만큼 끈적이지않게 하는게 걸리네요.
순하고 차단효과는 좋은것같습니다.",5,False,False,False,
일리윤 저자극 이지워시 선크림,얼굴 목 사용에는 무기자가 좋은듯해요 시림도 덜하고요,4,False,False,False,
일리윤 저자극 이지워시 선크림,엄마가 쓰신다고해서 주문해봤어요.부드럽고 좋다고 하시네요~,5,False,False,False,
일리윤 저자극 이지워시 선크림,아이 발라주는데 편해요,5,False,False,False,
일리윤 저자극 이지워시 선크림,눈시림 없고 아이들 발라주기 넘 좋아요,5,False,False,False,
일리윤 저자극 이지워시 선크림,이지워시는데일리로쓰고 이건 물놀이용으로구매,5,False,False,False,
일리윤 저자극 이지워시 선크림,촉촉하고 좋아요. 추천합니다 👍,5,False,False,False,
일리윤 저자극 이지워시 선크림,번들거림 없고 발림성도 좋아요,5,False,False,False,
일리윤 저자극 이지워시 선크림,순하고 쓰기좋아요 매일사용중,4,False,False,False,
일리윤 저자극 이지워시 선크림,스틱형 쓰다가 구매했어요. 적당한 백탁이 피부를 화사하게 보이게 해줘서인지 아이가 잘 바르네요. 일리윤제품 순해서 좋은데 올 여름 잘 사용하게 될듯 합니다.,5,False,True,False,
일리윤 저자극 이지워시 선크림,백탁 싫어헤서 유기자차만 쓰는 사람인데 일리윤이라 구매해봤어요. 생각보다 뻑뻑하지 않게 잘 발리고 백탁 덕분에 약간 파데 바른 것처럼 톤 보정 효과가 있네요. 무향이라 더 좋고요. 하나 더 살까 고민중입니다.,5,False,False,False,
일리윤 저자극 이지워시 선크림,늘 사용하던 거라 사용해요. 아이들도 혼자서도 잘 바른답니다,5,False,False,False,
일리윤 저자극 이지워시 선크림,무자극이라 좋아용 커버도 잘 되는듯,5,False,False,True,자극없음(긍정)
일리윤 저자극 이지워시 선크림,무기자차 치고 발림성이 좋고 백탁도 심하지 않네요. 써보고 좋아서 하나 더 샀어요.,5,False,False,False,
일리윤 저자극 이지워시 선크림,백탁은 바르고 좀지나면 적당하게 좋습니다,5,False,False,False,
일리윤 저자극 이지워시 선크림,잘쓰고 있숩니다 !,5,False,False,False,
일리윤 저자극 이지워시 선크림,"초등학생 남자아이가 꾸준히 바르고 있어요
트러블 없고 발림성 좋아요
적당히 환해지기도 해요",5,False,False,False,
일리윤 저자극 이지워시 선크림,발림성도 좋고 촉촉하네요 지속력이 좋다하니 기대 중입니다,5,False,False,False,
일리윤 저자극 이지워시 선크림,"무기자차에 관심있어서 사봤어요. 질감은 여타와 비슷하고, 화장을 해도 밀리지 않아요.",5,False,False,False,
일리윤 저자극 이지워시 선크림,좋다고 하네요. 눈시림이 덜하다고.,5,False,False,False,
일리윤 저자극 이지워시 선크림,무기자차라 골랐는데 피부 자극이 적고 눈시림없아 좋네요,5,False,False,True,자극없음(긍정)
